AvenueName,time_band,n_rows
동막교사거리_오리공원방면,심야(00-04),7668
동막교사거리_오리공원방면,새벽첫차(04-07),10212
동막교사거리_오리공원방면,저녁(20-24),11564
동막교사거리_경기고속삼거리방면,심야(00-04),13135
동막교사거리_오리공원방면,출근(07-10),13354
동막교사거리_오리공원방면,퇴근(17-20),14375
오리삼거리_오리교1사거리방면,새벽첫차(04-07),17033
오리삼거리_오리교1사거리방면,심야(00-04),17304
오리삼거리_오리역방면,심야(00-04),19313
미금역사거리_까치마을사거리방면,심야(00-04),19406
미금역사거리_까치마을사거리방면,새벽첫차(04-07),20436
동막교사거리_경기고속삼거리방면,새벽첫차(04-07),20708
오리삼거리_오리역방면,새벽첫차(04-07),20984
오리삼거리_오리교1사거리방면,퇴근(17-20),23599
오리삼거리_오리교1사거리방면,출근(07-10),24350
동막교사거리_오리역방면,새벽첫차(04-07),24350
오리삼거리_농수산물센터방면,심야(00-04),24853
동막교사거리_경기고속삼거리방면,출근(07-10),24928
동막교사거리_동막교삼거리방면,새벽첫차(04-07),24971
동막교사거리_오리역방면,심야(00-04),25500
동막교사거리_경기고속삼거리방면,저녁(20-24),26033
동막교사거리_동막교삼거리방면,심야(00-04),26071
동막교사거리_경기고속삼거리방면,퇴근(17-20),26116
오리삼거리_오리교1사거리방면,저녁(20-24),26144
미금역사거리_까치마을사거리방면,퇴근(17-20),27011
오리삼거리_농수산물센터방면,새벽첫차(04-07),28446
미금역사거리_정자일로방면,심야(00-04),29069
오리삼거리_오리역방면,퇴근(17-20),29350
미금역사거리_정자일로방면,새벽첫차(04-07),29425
미금역사거리_까치마을사거리방면,출근(07-10),30306
미금역사거리_청송마을사거리방면,새벽첫차(04-07),31053
오리삼거리_오리역방면,출근(07-10),31393
동막교사거리_오리공원방면,낮(10-17),31702
미금역사거리_까치마을사거리방면,저녁(20-24),32943
미금역사거리_청송마을사거리방면,심야(00-04),33652
미금역사거리_미금역방면,새벽첫차(04-07),34935
동막교사거리_오리역방면,출근(07-10),34968
오리삼거리_농수산물센터방면,퇴근(17-20),35323
오리삼거리_오리역방면,저녁(20-24),35969
미금역사거리_미금역방면,심야(00-04),36675
동막교사거리_오리역방면,퇴근(17-20),37480
오리삼거리_농수산물센터방면,출근(07-10),37876
오리삼거리_농수산물센터방면,저녁(20-24),39215
동막교사거리_동막교삼거리방면,출근(07-10),39373
동막교사거리_동막교삼거리방면,퇴근(17-20),40184
미금역사거리_정자일로방면,출근(07-10),41683
미금역사거리_정자일로방면,퇴근(17-20),41757
동막교사거리_동막교삼거리방면,저녁(20-24),42103
동막교사거리_오리역방면,저녁(20-24),43014
미금역사거리_미금역방면,퇴근(17-20),44926
미금역사거리_미금역방면,출근(07-10),46701
미금역사거리_정자일로방면,저녁(20-24),46862
미금역사거리_청송마을사거리방면,퇴근(17-20),49068
미금역사거리_청송마을사거리방면,출근(07-10),50305
미금역사거리_청송마을사거리방면,저녁(20-24),50887
미금역사거리_미금역방면,저녁(20-24),56380
오리삼거리_오리교1사거리방면,낮(10-17),61493
동막교사거리_경기고속삼거리방면,낮(10-17),66531
미금역사거리_까치마을사거리방면,낮(10-17),69133
오리삼거리_오리역방면,낮(10-17),72037
동막교사거리_오리역방면,낮(10-17),86211
오리삼거리_농수산물센터방면,낮(10-17),89474
동막교사거리_동막교삼거리방면,낮(10-17),96941
미금역사거리_정자일로방면,낮(10-17),103118
미금역사거리_미금역방면,낮(10-17),117365
미금역사거리_청송마을사거리방면,낮(10-17),122581
