AvenueName,새벽첫차_버스강도,새벽첫차_순위,주된_군집(새벽첫차제외),주된_성격,트럭비중_순위,버스비중_순위,오토바이비중_순위
동막교사거리_오리역방면,27.70815436185086,1,1,대중교통·배달 혼합형(버스·오토바이 비중 높음),11,2,1
동막교사거리_경기고속삼거리방면,25.400093664712628,2,2,순수 일반/주거 접근형(모든 특수차종 비중 낮음),2,8,5
미금역사거리_청송마을사거리방면,24.346071219321658,3,1,대중교통·배달 혼합형(버스·오토바이 비중 높음),10,1,4
미금역사거리_미금역방면,21.55124245229688,4,1,대중교통·배달 혼합형(버스·오토바이 비중 높음),9,4,2
오리삼거리_오리역방면,21.18931071263113,5,0,"일반형(승용차 중심, 버스 소폭 포함)",6,7,9
오리삼거리_농수산물센터방면,16.26489187368675,6,0,"일반형(승용차 중심, 버스 소폭 포함)",8,6,11
동막교사거리_동막교삼거리방면,16.028109445844994,7,1,대중교통·배달 혼합형(버스·오토바이 비중 높음),5,3,3
오리삼거리_오리교1사거리방면,11.228953078101496,8,2,순수 일반/주거 접근형(모든 특수차종 비중 낮음),6,5,6
미금역사거리_정자일로방면,10.525269168489531,9,0,"일반형(승용차 중심, 버스 소폭 포함)",3,9,8
미금역사거리_까치마을사거리방면,7.821657531328078,10,0,"일반형(승용차 중심, 버스 소폭 포함)",4,10,10
동막교사거리_오리공원방면,1.6007248565388101,11,2,순수 일반/주거 접근형(모든 특수차종 비중 낮음),1,11,7
