"AvenueSeq","IntersectionSeq","DirectionType","AvenueName","AvenueID","CameraSeq","StaticDirection","Location","LinkID","StraightLinkID","TurnLeftLinkID","TurnRightLinkID","CoupleLinkID","Degree","CoupleAvenueSeq","IsCalculation"
16,5,3,오리역 방면,"1",16,1,,"2060014600","2060184600","2060014100",,"2060014700",,,
17,5,4,오리교1사거리 방면,"2",17,2,,"2060014000",,"2060184600","2060014700","2060014100",,,
18,5,1,농수산물센터 방면,"3",18,3,,"2060013500","2060014700",,"2060014100","2060184600",,,
142,37,3,청송마을 사거리 방면,"1",142,1,,"2060032800","2060030900","2060032700","2060032400","2060032900",,,
143,37,4,까치마을사거리 방면,"2",143,2,,"2060032600","2060032400","2060030900","2060032900","2060032700",,,
144,37,1,미금역 방면,"3",144,3,,"2060030800","2060032900","2060032400","2060032700","2060032400",,,
145,37,2,정자일로 방면,"4",145,4,,"2060032500","2060032700","2060032900","2060030900","2060032400",,,
183,48,3,동막교삼거리 방면,"1",183,1,,"2060021400","2060019400","2060020100","2060021200","2060021500",,,
184,48,4,오리공원 방면,"2",184,2,,"2060020000","2060021200","2060019400","2060021500","2060020100",,,
185,48,1,오리역 방면,"3",185,3,,"2060019500","2060021500","2060021200","2060020100","2060019400",,,
186,48,2,경기고속삼거리 방면,"4",186,4,,"2060021300","2060020100","2060021500","2060019400","2060021200",,,
